"Person ID";Nativeness;Frames;"String Type";Manner;Path;"Value Type";"Value"
1;Late;13487_13548;Conflated (Manner+Path);jumping;curved;"Total Angle Change Left";4123
1;Late;13487_13548;Conflated (Manner+Path);jumping;curved;"Total Angle Change Right";3879
1;Late;13487_13548;Conflated (Manner+Path);jumping;curved;"Average Angle Change Left";206
1;Late;13487_13548;Conflated (Manner+Path);jumping;curved;"Average Angle Change Right";193
1;Late;13608_13657;Conflated (Manner+Path);jumping;coil;"Total Body Change Left";3744
1;Late;13608_13657;Conflated (Manner+Path);jumping;coil;"Total Body Change Right";8716
1;Late;13608_13657;Conflated (Manner+Path);jumping;coil;"Average Body Change Left";234
1;Late;13608_13657;Conflated (Manner+Path);jumping;coil;"Average Body Change Right";544
1;Late;13608_13657;Conflated (Manner+Path);jumping;coil;"Total Angle Change Left";1017
1;Late;13608_13657;Conflated (Manner+Path);jumping;coil;"Total Angle Change Right";2011
1;Late;13608_13657;Conflated (Manner+Path);jumping;coil;"Average Angle Change Left";63
1;Late;13608_13657;Conflated (Manner+Path);jumping;coil;"Average Angle Change Right";125
1;Late;13715_13758;Conflated (Manner+Path);jumping;zigzag;"Total Body Change Left";3210
1;Late;13715_13758;Conflated (Manner+Path);jumping;zigzag;"Total Body Change Right";7776
1;Late;13715_13758;Conflated (Manner+Path);jumping;zigzag;"Average Body Change Left";229
1;Late;13715_13758;Conflated (Manner+Path);jumping;zigzag;"Average Body Change Right";555
1;Late;13715_13758;Conflated (Manner+Path);jumping;zigzag;"Total Angle Change Left";1044
1;Late;13715_13758;Conflated (Manner+Path);jumping;zigzag;"Total Angle Change Right";2106
1;Late;13715_13758;Conflated (Manner+Path);jumping;zigzag;"Average Angle Change Left";74
1;Late;13715_13758;Conflated (Manner+Path);jumping;zigzag;"Average Angle Change Right";150
1;Late;13839_13883;Conflated (Manner+Path);jumping;circle;"Total Body Change Left";2797
1;Late;13839_13883;Conflated (Manner+Path);jumping;circle;"Total Body Change Right";7279
1;Late;13839_13883;Conflated (Manner+Path);jumping;circle;"Average Body Change Left";199
1;Late;13839_13883;Conflated (Manner+Path);jumping;circle;"Average Body Change Right";519
1;Late;13839_13883;Conflated (Manner+Path);jumping;circle;"Total Angle Change Left";1069
1;Late;13839_13883;Conflated (Manner+Path);jumping;circle;"Total Angle Change Right";1925
1;Late;13839_13883;Conflated (Manner+Path);jumping;circle;"Average Angle Change Left";76
1;Late;13839_13883;Conflated (Manner+Path);jumping;circle;"Average Angle Change Right";137
1;Late;13946_13990;Conflated (Manner+Path);jumping;down-hill;"Total Body Change Left";4404
1;Late;13946_13990;Conflated (Manner+Path);jumping;down-hill;"Total Body Change Right";12916
1;Late;13946_13990;Conflated (Manner+Path);jumping;down-hill;"Average Body Change Left";314
1;Late;13946_13990;Conflated (Manner+Path);jumping;down-hill;"Average Body Change Right";922
1;Late;13946_13990;Conflated (Manner+Path);jumping;down-hill;"Total Angle Change Left";1324
1;Late;13946_13990;Conflated (Manner+Path);jumping;down-hill;"Total Angle Change Right";2527
1;Late;13946_13990;Conflated (Manner+Path);jumping;down-hill;"Average Angle Change Left";94
1;Late;13946_13990;Conflated (Manner+Path);jumping;down-hill;"Average Angle Change Right";180
1;Late;14040_14088;Conflated (Manner+Path);jumping;up-hill;"Total Body Change Left";6077
1;Late;14040_14088;Conflated (Manner+Path);jumping;up-hill;"Total Body Change Right";12175
1;Late;14040_14088;Conflated (Manner+Path);jumping;up-hill;"Average Body Change Left";405
1;Late;14040_14088;Conflated (Manner+Path);jumping;up-hill;"Average Body Change Right";811
1;Late;14040_14088;Conflated (Manner+Path);jumping;up-hill;"Total Angle Change Left";5148
1;Late;14040_14088;Conflated (Manner+Path);jumping;up-hill;"Total Angle Change Right";2317
1;Late;14040_14088;Conflated (Manner+Path);jumping;up-hill;"Average Angle Change Left";343
1;Late;14040_14088;Conflated (Manner+Path);jumping;up-hill;"Average Angle Change Right";154
1;Late;1476_1586;Mixed_1 (Manner+Path-...);limping;coil;"Total Body Change Left";8095
1;Late;1476_1586;Mixed_1 (Manner+Path-...);limping;coil;"Total Body Change Right";17504
1;Late;1476_1586;Mixed_1 (Manner+Path-...);limping;coil;"Average Body Change Left";224
1;Late;1476_1586;Mixed_1 (Manner+Path-...);limping;coil;"Average Body Change Right";486
1;Late;1476_1586;Mixed_1 (Manner+Path-...);limping;coil;"Total Angle Change Left";3947
1;Late;1476_1586;Mixed_1 (Manner+Path-...);limping;coil;"Total Angle Change Right";4499
1;Late;1476_1586;Mixed_1 (Manner+Path-...);limping;coil;"Average Angle Change Left";109
1;Late;1476_1586;Mixed_1 (Manner+Path-...);limping;coil;"Average Angle Change Right";124
1;Late;2575_2635;Conflated (Manner+Path);limping;zigzag;"Total Body Change Left";3305
1;Late;2575_2635;Conflated (Manner+Path);limping;zigzag;"Total Body Change Right";10726
1;Late;2575_2635;Conflated (Manner+Path);limping;zigzag;"Average Body Change Left";173
1;Late;2575_2635;Conflated (Manner+Path);limping;zigzag;"Average Body Change Right";564
1;Late;2575_2635;Conflated (Manner+Path);limping;zigzag;"Total Angle Change Left";788
1;Late;2575_2635;Conflated (Manner+Path);limping;zigzag;"Total Angle Change Right";2439
1;Late;2575_2635;Conflated (Manner+Path);limping;zigzag;"Average Angle Change Left";41
1;Late;2575_2635;Conflated (Manner+Path);limping;zigzag;"Average Angle Change Right";128
1;Late;2777_2871;Conflated (Manner+Path);limping;circle;"Total Body Change Left";4092
1;Late;2777_2871;Conflated (Manner+Path);limping;circle;"Total Body Change Right";12399
1;Late;2777_2871;Conflated (Manner+Path);limping;circle;"Average Body Change Left";132
